County	EligibleToVote
Alachua	30227
Baker	370
Bay	6692
Bradford	768
Brevard	18651
Broward	102704
Calhoun	141
Charlotte	8487
Citrus	3273
Clay	4603
Collier	3100
Columbia	3090
DeSoto	324
Dixie	92
Duval	44468
Escambia	8822
Flagler	8151
Franklin	360
Gadsden	3259
Gilchrist	246
Glades	48
Gulf	303
Hamilton	148
Hardee	113
Hendry	374
Hernando	5178
Highlands	886
Hillsborough	69741
Holmes	62
Indian River	2236
Jackson	380
Jefferson	576
Lafayette	50
Lake	8167
Lee	30051
Leon	24316
Levy	736
Liberty	99
Madison	629
Manatee	6833
Marion	11948
Martin	3365
Miami-Dade	82534
Monroe	1792
Nassau	1296
Okaloosa	1261
Okeechobee	268
Orange	52351
Osceola	19841
Palm Beach	51804
Pasco	26308
Pinellas	67910
Polk	27617
Putnam	3031
Santa Rosa	1642
Sarasota	15427
Seminole	26996
St. Johns	7773
St. Lucie	15761
Sumter	2265
Suwannee	389
Taylor	216
Union	211
Volusia	34382
Wakulla	1017
Walton	329
Washington	224
